ID,Words,All,Tree Hole,Wailing Wall,Unique Tree Hole,Unique Wailing Wall,Both,Difference
离灯_冬眠mode关闭失败,结婚,25,24,0,24,0,0,100.0
离灯_冬眠mode关闭失败,报警,12,1,0,1,0,0,100.0
离灯_冬眠mode关闭失败,工作,20,19,1,19,1,0,90.0
离灯_冬眠mode关闭失败,我妈,14,14,1,13,0,1,86.66666666666667
离灯_冬眠mode关闭失败,可是,13,11,1,10,0,1,83.33333333333334
离灯_冬眠mode关闭失败,还要,12,11,1,11,1,0,83.33333333333334
离灯_冬眠mode关闭失败,别人,11,10,1,9,0,1,81.81818181818183
离灯_冬眠mode关闭失败,怎么,15,10,1,10,1,0,81.81818181818183
离灯_冬眠mode关闭失败,这样的,11,9,1,9,1,0,80.0
离灯_冬眠mode关闭失败,他,19,16,2,16,2,0,77.77777777777779
离灯_冬眠mode关闭失败,博主,13,8,1,7,0,1,77.77777777777779
离灯_冬眠mode关闭失败,才,17,15,2,15,2,0,76.47058823529412
离灯_冬眠mode关闭失败,感觉,14,14,2,12,0,2,75.0
离灯_冬眠mode关闭失败,也是,19,17,3,16,2,1,70.0
离灯_冬眠mode关闭失败,难过,13,10,2,10,2,0,66.66666666666666
离灯_冬眠mode关闭失败,为什么,17,14,3,14,3,0,64.70588235294117
离灯_冬眠mode关闭失败,为,13,9,2,8,1,1,63.63636363636363
离灯_冬眠mode关闭失败,这个,23,17,4,16,3,1,61.904761904761905
离灯_冬眠mode关闭失败,找,11,8,2,8,2,0,60.0
离灯_冬眠mode关闭失败,就是,19,15,4,15,4,0,57.89473684210527
离灯_冬眠mode关闭失败,一样,16,15,4,12,1,3,57.89473684210527
离灯_冬眠mode关闭失败,多,13,11,3,10,2,1,57.14285714285714
离灯_冬眠mode关闭失败,她,73,46,14,44,12,2,53.333333333333336
离灯_冬眠mode关闭失败,上,17,13,4,12,3,1,52.94117647058824
离灯_冬眠mode关闭失败,不是,25,19,6,17,4,2,52.0
离灯_冬眠mode关闭失败,想要,11,9,3,8,2,1,50.0
离灯_冬眠mode关闭失败,东西,17,12,4,11,3,1,50.0
离灯_冬眠mode关闭失败,还在,14,9,3,7,1,2,50.0
离灯_冬眠mode关闭失败,一点,12,9,3,7,1,2,50.0
离灯_冬眠mode关闭失败,得,11,9,3,8,2,1,50.0
离灯_冬眠mode关闭失败,人生,28,23,8,20,5,3,48.38709677419355
离灯_冬眠mode关闭失败,我,364,296,106,248,58,48,47.2636815920398
离灯_冬眠mode关闭失败,理解,15,11,4,11,4,0,46.666666666666664
离灯_冬眠mode关闭失败,什么,20,16,6,13,3,3,45.45454545454545
离灯_冬眠mode关闭失败,说,50,34,13,31,10,3,44.680851063829785
离灯_冬眠mode关闭失败,只是,15,13,5,10,2,3,44.44444444444444
离灯_冬眠mode关闭失败,孩子,29,22,9,20,7,2,41.935483870967744
离灯_冬眠mode关闭失败,没有,42,31,13,26,8,5,40.909090909090914
离灯_冬眠mode关闭失败,生命,13,7,3,7,3,0,40.0
离灯_冬眠mode关闭失败,这种,12,9,4,7,2,2,38.46153846153847
离灯_冬眠mode关闭失败,大家,13,9,4,8,3,1,38.46153846153847
离灯_冬眠mode关闭失败,好,34,26,12,20,6,6,36.84210526315789
离灯_冬眠mode关闭失败,自己,101,74,35,63,24,11,35.77981651376147
离灯_冬眠mode关闭失败,已经,26,19,9,13,3,6,35.714285714285715
离灯_冬眠mode关闭失败,人,84,59,28,51,20,8,35.63218390804598
离灯_冬眠mode关闭失败,父母,85,54,26,48,20,6,35.0
离灯_冬眠mode关闭失败,也不,11,8,4,7,3,1,33.33333333333333
离灯_冬眠mode关闭失败,自杀,19,12,6,12,6,0,33.33333333333333
离灯_冬眠mode关闭失败,爱,11,6,3,6,3,0,33.33333333333333
离灯_冬眠mode关闭失败,但是,24,16,8,15,7,1,33.33333333333333
离灯_冬眠mode关闭失败,今天,22,18,9,13,4,5,33.33333333333333
离灯_冬眠mode关闭失败,觉得,38,28,14,24,10,4,33.33333333333333
离灯_冬眠mode关闭失败,朋友,19,12,6,11,5,1,33.33333333333333
离灯_冬眠mode关闭失败,一个,40,25,13,22,10,3,31.57894736842105
离灯_冬眠mode关闭失败,真的,41,26,14,23,11,3,30.0
离灯_冬眠mode关闭失败,世界,20,14,8,12,6,2,27.27272727272727
离灯_冬眠mode关闭失败,一直,18,12,7,11,6,1,26.31578947368421
离灯_冬眠mode关闭失败,一定要,16,10,6,9,5,1,25.0
离灯_冬眠mode关闭失败,这样,16,10,6,10,6,0,25.0
离灯_冬眠mode关闭失败,活着,40,25,16,23,14,2,21.951219512195124
离灯_冬眠mode关闭失败,因为,23,14,9,13,8,1,21.73913043478261
离灯_冬眠mode关闭失败,无法,12,6,4,4,2,2,20.0
离灯_冬眠mode关闭失败,现在,27,18,12,14,8,4,20.0
离灯_冬眠mode关闭失败,里,14,9,6,5,2,4,20.0
离灯_冬眠mode关闭失败,灯,33,28,19,14,5,14,19.148936170212767
离灯_冬眠mode关闭失败,还是,27,14,10,13,9,1,16.666666666666664
离灯_冬眠mode关闭失败,更,12,7,5,5,3,2,16.666666666666664
离灯_冬眠mode关闭失败,选择,24,14,10,14,10,0,16.666666666666664
